Company_ID,Name_of_Company,Unit,IPP
Gabriel EL,Gabriel India Limited,50,47
Mate,Mothersons Automotive Tec,1559,819
Aptiv EL,Aptiv Components India Pv,309,158
3M,3M India Ltd,1377,483
ARAI,Automotive Resarch Associ,2093,735
BFL EL,BHARAT FORGE LTD,444,354
Clover,Clover Forging & Machinin,85,47
Encube,Encube Ethicals Pvt Ltd,252,84
Harman,Harman International Indi,2709,945
Hyundai EL,Hyundai Construction Equi,113,94
MSSL,Mahindra Sanyo Special St,863,152
Mars,Mars International India ,419,49
Menon EL,Menon & Menon Limited,450,532
Menon Kagal EL,Menon & Menon Limited.,52,71
Menon Piston EL,Menon Pistons Ltd,118,94
MFL,Metalyst Forging Ltd,179,213
P3W Vehicle,Piaggio Vehicles Private ,5421,1900
P2W,Piaggio Vehicles Pvt Ltd,913,315
Pentair,Pentair Valves And Contro,179,142
Sulzer EL,Sulzer India Pvt Ltd,213,165
Taparia,Taparia Tools Ltd,5830,4583
Valeo,Valeo India Pvt Ltd,8255,4331
Emerson,Emerson Process Managemen,1653,1299
Advik,ADVIK HI-TECH PVT LTD,4122,2158
Brakes,Brakes India Pvt Ltd,1633,850
Impress,IMPRESS CONTAINERS COMPAN,363,189
Fristam Pumps,FRISTAM PUMPS (I) PVT. LT,117,63
Gabriel NEEM,Gabriel India Limited.,926,488
Gabriel NEEM Main Plant,Gabriel India Limited -,588,315
Kingfa,Kingfa Science & Technolo,503,268
Leoni Cables,LEONI Cable Solutions (In,977,520
Leoni Wiring,LEONI Wiring Systems (Pun,753,394
Lumiere,Lumiere Coolants Ltd,889,315
MMM NEEM,Magneti Marelli Motherson,1455,1158
Supreme,Supreme Treon Pvt Ltd,539,425
Persistent,Persistent System Ltd,93,10
3M Banglore,3M India Limited.,1067,378
3M Pimpri,3M Electro & Communicatio,776,273
Aakar,Aakar Foundry Pvt Ltd,1544,536
Aditya Auto Bommasandra,ADITYA AUTO PRODUCTS & EN,268,142
Aeques Automotive,AEQUS AUTOMOTIVE PVT LTD,31,10
Aeques Engg Plastic,AEQUS ENGINEERED PLASTICS,4810,1680
Aeques II,AEQUS PVT LTD II,1427,504
Aeques SEZ 1,Aequs SEZ Private Limited,463,158
Aequs Force,Aequs Force Consumers Pro,1001,346
Aerostructures I,AeroStructures Manufactur,1632,567
Aerospace Processing,Aerospace Processing Indi,572,200
Aisin,AISIN AUTOMOTIVE KARNATAK,1659,578
Allevard,ALLEVARD-IAI Suspension P,318,173
Autoliv Haryana,Autoliv India Private Lim,1474,514
Autoliv Banglore,Autoliv India Pvt Ltd,1621,378
Auma,AUMA India Private Limite,808,189
Armacell,Armacell India Pvt Ltd,734,567
At India,At India Auto Parts Priva,3729,868
Badve Auto Gujrat,BADVE AUTO TECH PVT LTD,3153,1654
Badve Engg NEEM,Badve Engineering Limited,1636,1949
Badve Engg Pirangut,Badve Engineering Ltd -,3795,4465
Badve Engg 16,Badve Engineering Ltd - X,391,205
Badve 3K Aurangabad,BADVE AUTOCOMPS PVT.LTD 3,886,709
Bayforge,BAYFORGE PRIVATE LIMITED,1319,154
Bilz Tool,Bilz Tool Private Limited,269,94
Bharat Forge Baramati,Bharat Forge Limited,2003,1055
BFL Pune NEEM,BHARAT FORGE LTD.,8294,4347
Bosch Banglore,Bosch Automotive Electron,4303,1001
Bosch Adugudi & Bidadi,Bosch Limited,7791,910
Bosch Pune,Bosch Chassis System Indi,30,4
Bhavani,Bhavani Industries,71,14
Brainbees,Brainbees Solutions Pvt L,682,362
Cargill.,Cargill India Pvt Ltd,204,74
Ceratizit,Ceratizit Bengaluru Priva,477,112
Cogeme,Cogeme Precision Parts (I,5211,1827
Cooper,Cooper Standard Automotiv,361,425
Cooper Satara,Cooper Corporation Pvt Lt,2834,987
Datacorp Banglore,DataCorp Traffic Private ,3162,735
Datacorp Gurgaon,DATACORP TRAFFIC PRIVATE ,1748,406
Datacorp Madurai,Datacorp Traffic Private ,1616,189
Digital Age,Digital Age Retail Pvt Lt,71,32
DRI India,DRI India Relays Private ,466,112
Delfingen,Delfingen India Pvt Ltd,972,336
Durovalves,Durovalves India Pvt Ltd,3917,2063
Dynamatic Aerospace,Dynamatic Technologies Li,2424,850
Eximius Infratech,Eximius Infra Tech Soluti,367,189
Fairfield,Fairfield Atlas Limited,2902,2292
Fenace Auto,Fenace Auto Limited,422,496
Garware Wai,Garware Technical Fibres ,1834,2162
Grupo,Grupo Antolin India Priva,489,378
Hager Plant 2,Hager Electro Private Lim,3968,1386
Herman Miller,Herman Miller Furniture (,469,112
Walvoil,WALVOIL FLUID POWER INDIA,1815,420
Hical EC3,Hical Technologies Pvt. L,304,105
Hyundai Steel,HYUNDAI STEEL PIPE INDIA ,4830,564
IFB,IFB Industrial Ltd,5661,1323
Indiana,Indiana Gratings Pvt Ltd,2286,798
India Kawasaki,India Kawasaki Motors Pvt,262,213
Indo Honga,Indo Schottle Auto Parts ,0,0
ITC,ITC Food Limited,1642,578
Jabil,Jabil Circuit India Pvt L,9535,2226
Jayshree Electron,Jayshree Electron Pvt Ltd,951,756
Jayshree Eletrodevices,Jayashree Electro Devices,266,213
Jayshree Encoders,Jayashree Encoders Pvt Lt,440,354
JK Precision,JK Precision And Tools,312,105
Kern Lieber,Kern-Liebers( India) Pvt ,2657,1402
Kemwell,Kemwell Biopharm Pvt Ltd,343,77
KFIL NEEM,Kirloskar Ferrous Industr,4105,2158
Kosei Minda,Kosei Minda Alumiun Compa,33,10
Konecranes,Konecranes and Demag Priv,933,732
KSPG,KSPG Automotive India Pvt,1806,945
KSPG Supa,KSPG Automotive India Pri,120,63
Lumax Kolar,Lumax Auto Technologies L,4461,2347
Lumax Bidadi,Lumax Industries Ltd,2025,1071
MHL Urse NEEM,MAHINDRA CIE Automotive L,5895,2058
Mahindra Gear,Mahindra CIE Automotive L,1988,1040
Magellan,Magellan Aerospace (India,60,14
Maxion,Maxion Wheels Aluminum In,3261,1144
Menon NEEM,Menon & Menon Limited -,3992,4713
Menon Kagal NEEM,Menon & Menon Limited..,1300,1524
Minda Hosur,Minda Industries Ltd,4529,2378
Minda Lighting,Minda Industries Ltd (Lig,2162,2552
Minda Switch Div,Minda Industries Ltd (Swi,2112,2481
Minda Sensor 2,Minda Industries Ltd (Sen,1295,1524
Minda Chennai,MINDA INDUSTRIES LTD (LIG,1192,630
Mitsuba,Mitsuba Sical India Priva,1428,756
MINDA KATOOLEC,MINDA KATOOLEC ELECTRONIC,1393,724
Minda Kyoraku,MINDA KYORAKU LIMITED,323,260
Mutual Shikrapur,MUTUAL AUTOMOTIVE PRIVATE,914,709
Schneider Chennai,M/S. Schneider Electric I,6732,1568
Metro Cash DC 26,Metro Cash and Carry Indi,3037,707
Metro Cash DC 28,METRO Cash & Carry India ,349,42
Mivin Engg,Mivin Engg Technologies P,607,140
Nipro,Nipro India Corporation P,12233,4284
Nipro Pharma,Nipro Pharma Packaging In,2083,724
Norma,Norma Group Products Indi,702,362
Nexteer,Nexteer Automotive India ,720,252
Ohsung,Ohsung Electronics India ,2065,1087
Otto Bilz,Otto Bilz India Pvt Ltd,130,42
Owari,Owari Precision Products ,1644,385
Premium,Premium Transmission Limi,2443,1914
Precision Plastic,Precision Plastic Enginee,318,173
PPG,PPG ASIAN PAINTS PRIVATE ,1463,514
Paras,Paras Power Engineering P,421,496
Plansee,Plansee India High Perfor,564,133
Rao Nursing,Rao Nursing Home,740,262
R Vision,R-Vision Plastic Industri,31,24
Recipharma,Recipharm Pharmaservices ,1262,441
Renata Karandi,RENATA PRECISION COMPONEN,3195,1124
Renata Sector 7,Renata Precision Componen,438,158
Rinder Chakan,RINDER INDIA PVT. LTD.,672,780
Minda Rinder Hosur,Minda Rinder Private Limi,2206,2622
Rokiminda,ROKIMINDA CO PRIVATE LTD,2128,746
San & San,San and San Auto Private ,311,354
Selec Control,Selec Control Pvt Ltd,1169,410
