Company_ID,Name_of_Company,Months,Services,Unit,Invoice_Value,IPP
Gabriel EL,Gabriel India Limited,January,,2,3146,1.05
Mate,Mothersons Automotive Tec,January,,64,108740,0.0
Aptiv EL,Aptiv Components India Pv,January,,15,35113,0.0
3M,3M India Ltd,January,,60,164112,0.0
ARAI,Automotive Resarch Associ,January,,73,239638,0.0
BFL EL,BHARAT FORGE LTD,January,,11,47326,0.0
Clover,Clover Forging & Machinin,January,,3,8178,0.0
Encube,Encube Ethicals Pvt Ltd,January,,9,30015,0.0
Harman,Harman International Indi,January,,105,165834,0.0
Hyundai EL,Hyundai Construction Equi,January,,4,11800,0.0
MSSL,Mahindra Sanyo Special St,January,,29,51330,0.0
Mars,Mars International India ,January,,14,49442,0.0
Menon EL,Menon & Menon Limited,January,,19,49438,0.0
Menon Kagal EL,Menon & Menon Limited.,January,,2,5517,0.0
Menon Piston EL,Menon Pistons Ltd,January,,7,12892,0.0
MFL,Metalyst Forging Ltd,January,,9,20937,0.0
P3W Vehicle,Piaggio Vehicles Private ,January,,215,326858,0.0
P2W,Piaggio Vehicles Pvt Ltd,January,,37,55043,0.0
Pentair,Pentair Valves And Contro,January,,9,16757,0.0
Sulzer EL,Sulzer India Pvt Ltd,January,,8,16757,0.0
Taparia,Taparia Tools Ltd,January,,267,713508,0.0
Valeo,Valeo India Pvt Ltd,January,,299,912742,0.0
Emerson,Emerson Process Managemen,January,,80,135486,0.0
Advik,ADVIK HI-TECH PVT LTD,January,,185,230311,0.0
Brakes,Brakes India Pvt Ltd,January,,48,142772,0.0
Aptiv NEEM,Aptiv Components India Pv,January,,217,257257,0.0
Impress,IMPRESS CONTAINERS COMPAN,January,,17,27870,0.0
Fristam Pumps,FRISTAM PUMPS (I) PVT. LT,January,,4,10651,0.0
Gabriel NEEM,Gabriel India Limited.,January,,30,62509,0.0
Gabriel NEEM Main Plant,Gabriel India Limited -,January,,24,42040,0.0
Kingfa,Kingfa Science & Technolo,January,,35,62841,0.0
