Company_ID,Name_of_Company,Unit,IPP
3M Pimpri,3M Electro & Communicatio,776,273.0
3M Banglore,3M India Limited.,1067,378.0
3M,3M India Ltd,1377,483.0
Aakar,Aakar Foundry Pvt Ltd,1544,357.0
ABB INDIA-Mysore,ABB INDIA LIMITED,198,74.0
Advik,ADVIK HI-TECH PVT LTD,4122,2158.0
Aeques Automotive,AEQUS AUTOMOTIVE PVT LTD,31,10.0
Aeques Engg Plastic,AEQUS ENGINEERED PLASTICS,4810,1680.0
Aequs Force,Aequs Force Consumers Pro,1001,346.0
Aeques II,AEQUS PVT LTD II,1427,504.0
Aeques SEZ 1,Aequs SEZ Private Limited,463,158.0
Aeques SEZ 2,Aequs SEZ Private Limited,0,0.0
Aerospace Processing,Aerospace Processing Indi,572,200.0
Aerostructures I,AeroStructures Manufactur,1632,567.0
Aerostructures II,AeroStructures Manufactur,1247,441.0
Aisin,AISIN AUTOMOTIVE KARNATAK,1659,578.0
Alf Engg,ALF Engineering P Ltd,73,32.0
Allevard,ALLEVARD-IAI Suspension P,318,173.0
Aptiv EL,Aptiv Components India Pv,309,158.0
Aptiv NEEM,Aptiv Components India Pv,3797,2000.0
Arka Anand,Arka Anand Automation,62,32.0
Armacell,Armacell India Pvt Ltd,734,567.0
At India,At India Auto Parts Priva,3729,868.0
Atomberg,Atomberg Technologies Pvt,1281,677.0
Auma,AUMA India Private Limite,808,189.0
Autoliv Haryana,Autoliv India Private Lim,1474,514.0
Autoliv Banglore,Autoliv India Pvt Ltd,1621,378.0
ARAI,Automotive Resarch Associ,2093,735.0
Badve Auto Gujrat,BADVE AUTO TECH PVT LTD,3153,1654.0
Badve 3K Aurangabad,BADVE AUTOCOMPS PVT.LTD 3,886,709.0
Badve Engg NEEM,Badve Engineering Limited,1636,1949.0
Badve Engg Pirangut,Badve Engineering Ltd -,3795,4465.0
Badve Engg 16,Badve Engineering Ltd - X,391,205.0
Badve APPL,Badve Engineering Ltd APP,0,0.0
Badve CTPL,Badve Engineering Ltd CTP,0,0.0
Bayforge,BAYFORGE PRIVATE LIMITED,1319,154.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
