1,3M Electro & Communication India Pvt Ltd,3M Pimpri,January,,,30,59913
,3M India Limited.,3M Banglore,January,,,35,95119
,3M India Ltd,3M,January,,,60,164112
,Aakar Foundry Pvt Ltd,Aakar,January,,,58,127535
,ABB INDIA LIMITED,ABB INDIA-Mysore,January,,,8,18038
,ADITYA AUTO PRODUCTS & ENGG. (I) PVT. LTD.,Aditya Auto Bommasandra,January,,,9,16321
,ADVIK HI-TECH PVT LTD,Advik,January,,,185,230311
,AEQUS AUTOMOTIVE PVT LTD,Aeques Automotive,January,,,1,1262
,AEQUS ENGINEERED PLASTICS PVT LTD,Aeques Engg Plastic,January,,,170,197376
,Aequs Force Consumers Products Pvt Ltd,Aequs Force,January,,,33,40755
,AEQUS PVT LTD II,Aeques II,January,,,50,64853
,Aequs SEZ Private Limited,Aeques SEZ 1,January,,,15,19827
,Aequs SEZ Private Limited.,Aeques SEZ 2,January,,,0,0
,Aerospace Processing India Pvt Ltd,Aerospace Processing,January,,,19,24131
,AeroStructures Manufacturing India Private limited Unit I,Aerostructures I,January,,,57,72586
,AeroStructures Manufacturing India Private limited Unit II,Aerostructures II,January,,,43,56490
,AISIN AUTOMOTIVE KARNATAKA PRIVATE LIMITED,Aisin,January,,,68,110508
,ALF Engineering P Ltd,Alf Engg,January,,,3,6793
,ALLEVARD-IAI Suspension Pvt Ltd,Allevard,January,,,11,38347
,Aptiv Components India Pvt.Ltd,Aptiv EL,January,,,15,35113
,Aptiv Components India Pvt.Ltd.,Aptiv NEEM,January,,,217,257257
,Arka Anand Automation,Arka Anand,January,,,2,2557
,Armacell India Pvt Ltd,Armacell,January,,,30,66095
,At India Auto Parts Private Limited,At India,January,,,133,256699
,Atomberg Technologies Pvt Ltd,Atomberg,January,,,49,111856
,AUMA India Private Limited,Auma,January,,,27,64697
,Autoliv India Private Limited,Autoliv Haryana,January,,,50,84166
,Autoliv India Pvt Ltd,Autoliv Banglore,January,,,56,92276
,Automotive Resarch Association Of India,ARAI,January,,,73,239638
,BADVE AUTO TECH PVT LTD,Badve Auto Gujrat,January,,,132,276834
,BADVE AUTOCOMPS PVT.LTD 3K(POLYMER DIVISION),Badve 3K Aurangabad,January,,,31,119175
,Badve Engineering Limited -,Badve Engg NEEM,January,,,60,489628
,Badve Engineering Ltd -,Badve Engg Pirangut,January,,,160,32811
,Badve Engineering Ltd - XVI,Badve Engg 16,January,,,19,62067
,BAYFORGE PRIVATE LIMITED,Bayforge,January,,,46,86466
,Bharat Forge Limited,Bharat Forge Baramati,January,,,72,585516
,BHARAT FORGE LTD,BFL EL,January,,,11,47326
,BHARAT FORGE LTD.,BFL Pune NEEM,January,,,331,118620
,Bhavani Industries,Bhavani,January,,,3,5713
,Bilz Tool Private Limited,Bilz Tool,January,,,9,20557
,Bosch Automotive Electronics India Pvt. Ltd,Bosch Banglore,January,,,148,336372
,Bosch Chassis System India Private Limited,Bosch Pune,January,,,1,938
,Bosch Limited,Bosch Adugudi & Bidadi,January,,,275,369575
,Brainbees Solutions Pvt Ltd,Brainbees,January,,,31,30951
,Brakes India Pvt Ltd,Brakes,January,,,48,142772
,Britannia Industries Limited,Britannia,January,,,9,15418
,Cargill India Pvt Ltd,Cargill.,January,,,7,17776
,Carlsberg India Pvt. Ltd.,Carlberg,January,,,11,11484
,CARRARO INDIA PVT LTD,Carraro,January,,,22,38940
,Cataler India Auto Parts Pvt Ltd,Cataler India,January,,,7,12183
,Ceratizit Bengaluru Private Limited,Ceratizit,January,,,16,44084
