3M Electro & Communication India Pvt Ltd,3M Pimpri,NEEM,776.5,59913
3M India Limited.,3M Banglore,NEEM,1067.5,95119
3M India Ltd,3M,EL,1377,164112
Aakar Foundry Pvt Ltd,Aakar,NEEM,1544,127535
ABB INDIA LIMITED,ABB INDIA-Mysore,NEEM,198.5,18038
ADITYA AUTO PRODUCTS & ENGG. (I) PVT. LTD.,Aditya Auto Bommasandra,NEEM,268,16321
ADVIK HI-TECH PVT LTD,Advik,NEEM,4122.5,230311
AEQUS AUTOMOTIVE PVT LTD,Aeques Automotive,NEEM,31,1262
AEQUS ENGINEERED PLASTICS PVT LTD,Aeques Engg Plastic,NEEM,4810,197376
Aequs Force Consumers Products Pvt Ltd,Aequs Force,NEEM,1001,40755
AEQUS PVT LTD II,Aeques II,NEEM,1427.5,64853
Aequs SEZ Private Limited,Aeques SEZ 1,NEEM,463,19827
Aequs SEZ Private Limited.,Aeques SEZ 2,NEEM,0,
Aerospace Processing India Pvt Ltd,Aerospace Processing,NEEM,572.5,24131
AeroStructures Manufacturing India Private limited Unit I,Aerostructures I,NEEM,1632.5,72586
AeroStructures Manufacturing India Private limited Unit II,Aerostructures II,NEEM,1247,56490
AISIN AUTOMOTIVE KARNATAKA PRIVATE LIMITED,Aisin,NEEM,1659,110508
ALF Engineering P Ltd,Alf Engg,NEEM,73.5,6793
ALLEVARD-IAI Suspension Pvt Ltd,Allevard,NEEM,318,38347
Aptiv Components India Pvt.Ltd,Aptiv EL,EL,309,35113
Aptiv Components India Pvt.Ltd.,Aptiv NEEM,NEEM,3797.5,257257
Arka Anand Automation,Arka Anand,NEEM,62,2557
Armacell India Pvt Ltd,Armacell,NEEM,734,66095
At India Auto Parts Private Limited,At India,NEEM,3729.5,256699
Atomberg Technologies Pvt Ltd,Atomberg,NEEM,1281.5,111856
AUMA India Private Limited,Auma,NEEM,808.5,64697
Autoliv India Private Limited,Autoliv Haryana,NEEM,1474,84166
Autoliv India Pvt Ltd,Autoliv Banglore,NEEM,1621,92276
Automotive Resarch Association Of India,ARAI,NEEM,2093.5,239638
BADVE AUTO TECH PVT LTD,Badve Auto Gujrat,NEEM,3153,276834
BADVE AUTOCOMPS PVT.LTD 3K(POLYMER DIVISION),Badve 3K Aurangabad,NEEM,886.8,119175
